                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9724,                 6.5335,                 3.5231,                0.00103,                0.94313,                0.01026,                0.00398,                 2.2527,                 4.9836,                 2.7873,             0.00066465,             0.00066465,             0.00066465
                      2,                 2.3168,                 3.8219,                 2.6305,                0.00173,                 0.9455,                0.02422,                0.00935,                 2.1243,                 3.8636,                 2.5804,              0.0012786,              0.0012786,              0.0012786
                      3,                 2.1578,                 3.4392,                 2.4899,                0.00319,                0.77014,                0.01422,                0.00516,                 2.2676,                 3.7469,                 2.7895,              0.0018397,              0.0018397,              0.0018397
                      4,                  2.074,                 3.3086,                 2.4187,                0.00475,                0.96919,                0.03331,                0.01461,                  1.913,                 3.2943,                 2.3495,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.9155,                 3.1587,                 2.2691,                0.00356,                0.95024,                0.05037,                0.02713,                 1.7907,                 3.3263,                 2.2313,              0.0017624,              0.0017624,              0.0017624
                      6,                  1.804,                 2.8499,                 2.1905,                0.17596,                0.24408,                0.13013,                0.06599,                 1.6404,                 2.7872,                 2.1613,              0.0016832,              0.0016832,              0.0016832
                      7,                  1.721,                 2.6041,                 2.0803,                0.64539,                0.36256,                0.44414,                0.27842,                 1.4864,                 2.3593,                 1.9432,               0.001604,               0.001604,               0.001604
                      8,                   1.69,                 2.5278,                 2.0443,                0.54348,                  0.391,                0.44438,                0.28538,                 1.4279,                 2.0629,                 1.8655,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.5916,                 2.3591,                 1.9785,                0.66631,                0.40693,                0.47161,                0.28812,                 1.4082,                 2.1406,                  1.883,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.5333,                  2.199,                 1.9123,                0.76729,                0.45498,                0.54992,                0.35352,                 1.4325,                 2.0087,                 1.8434,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.4922,                 2.1275,                 1.8742,                0.76538,                 0.4561,                0.56102,                0.36849,                 1.3091,                 1.8161,                  1.757,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.4611,                 2.0853,                 1.8415,                0.80394,                0.51659,                0.61472,                0.41417,                  1.282,                 1.8963,                 1.7405,               0.001208,               0.001208,               0.001208
                     13,                  1.437,                 1.9505,                 1.8156,                0.85105,                 0.5237,                0.60761,                0.39103,                 1.3483,                 1.8444,                 1.8149,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.4353,                 1.9793,                 1.8356,                0.82742,                0.53791,                0.63633,                 0.4269,                 1.3297,                 1.6022,                 1.7842,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.4169,                 1.9401,                 1.8241,                0.89929,                0.59247,                0.69299,                0.43842,                 1.3251,                 1.5571,                  1.749,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.3046,                 1.6689,                 1.7664,                0.86581,                0.62559,                0.74669,                0.50553,                 1.1962,                 1.3224,                 1.6526,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.2596,                 1.5055,                 1.7433,                0.86959,                0.63205,                0.73156,                0.49822,                 1.2263,                 1.3469,                 1.6896,               0.000812,               0.000812,               0.000812
                     18,                 1.2357,                 1.5401,                 1.7194,                0.84298,                0.66825,                0.75765,                0.52284,                 1.1786,                 1.2956,                 1.6556,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.2038,                 1.4863,                 1.6993,                 0.8841,                0.69905,                0.79334,                0.54645,                 1.2097,                 1.1968,                 1.6703,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.1667,                 1.4153,                 1.6498,                0.83294,                0.71801,                0.77831,                0.53299,                 1.1726,                 1.1646,                 1.6352,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.1442,                 1.3061,                 1.6309,                0.88767,                0.71161,                  0.801,                0.56415,                 1.1216,                  1.125,                 1.6206,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.1209,                 1.2596,                 1.6222,                0.90116,                0.70142,                0.80798,                 0.5615,                  1.106,                 1.1413,                 1.6038,               0.000416,               0.000416,               0.000416
                     23,                 1.1319,                 1.2682,                 1.6366,                0.88299,                0.75106,                0.82452,                0.58604,                 1.1049,                 1.0487,                 1.5671,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.1046,                 1.1968,                 1.6156,                0.90785,                0.74645,                0.83353,                0.60388,                 1.0571,                 1.0176,                 1.5426,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.0935,                 1.1563,                 1.6051,                0.90077,                0.75592,                0.83826,                0.60772,                 1.0576,                 1.0192,                 1.5366,              0.0001784,              0.0001784,              0.0001784
