                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1547,                  5.165,                 3.6364,                 0.0014,                0.83791,                0.00848,                 0.0023,                 2.5877,                 4.9909,                 3.3224,             0.00055431,             0.00055431,             0.00055431
                      2,                  2.488,                 3.6242,                 2.8454,                0.54746,                    0.1,                0.03035,                 0.0091,                 2.2611,                 3.7851,                 2.6701,              0.0010733,              0.0010733,              0.0010733
                      3,                 2.2136,                 3.3371,                 2.6259,                0.64655,                0.07073,                0.06667,                0.02759,                 2.0535,                 3.9511,                 2.5114,              0.0015557,              0.0015557,              0.0015557
                      4,                 2.0433,                 3.1804,                 2.4665,                0.55071,                0.12561,                0.04376,                0.01145,                 2.2194,                 3.6333,                 2.6041,               0.001502,               0.001502,               0.001502
                      5,                 1.9025,                 3.0667,                 2.3182,                0.63777,                0.09634,                0.08495,                0.02999,                 2.0251,                 3.6274,                 2.4524,               0.001447,               0.001447,               0.001447
                      6,                 1.7909,                  2.921,                  2.238,                 0.6427,                0.11494,                0.09526,                 0.0366,                   1.86,                 3.3483,                 2.3546,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.7167,                 2.8547,                 2.1553,                0.62346,                0.13195,                0.11246,                 0.0464,                 1.8871,                 3.4578,                 2.3467,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.6236,                 2.8036,                 2.0996,                0.64033,                0.13293,                0.13199,                 0.0561,                 1.7977,                 3.1051,                 2.3313,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.6016,                 2.7284,                 2.0522,                0.68762,                 0.1622,                0.19324,                0.08266,                  1.756,                 3.5073,                 2.2943,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.5395,                 2.5692,                 1.9946,                0.26942,                0.34037,                0.22218,                0.11402,                 1.6382,                 3.1071,                 2.2649,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.5128,                 2.4558,                 1.9722,                0.34056,                0.33414,                0.24661,                0.12888,                 1.7322,                 2.7149,                 2.3033,              0.0011169,              0.0011169,              0.0011169
                     12,                  1.443,                  2.343,                 1.9091,                0.44035,                0.39681,                0.38874,                 0.2301,                 1.5897,                 2.5446,                 2.2722,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.4303,                 2.2739,                 1.8897,                0.43708,                0.44284,                0.40497,                0.24091,                 1.5197,                 2.2273,                 2.1369,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.3893,                 2.1677,                 1.8547,                0.58605,                0.39977,                0.44417,                0.28447,                 1.4242,                 2.4285,                 2.1029,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.3314,                 2.0782,                 1.8142,                0.61882,                0.42248,                0.47872,                0.29728,                 1.4892,                 2.1604,                 2.1206,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.3387,                 2.0374,                 1.8165,                0.69706,                0.41279,                0.52506,                 0.3424,                 1.3961,                 2.0325,                 2.0755,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.3002,                  1.975,                 1.7889,                0.63202,                0.47694,                0.54561,                0.34613,                 1.4551,                 1.9664,                 2.1282,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.2948,                 1.9492,                 1.7711,                0.58301,                0.48886,                0.53395,                0.33688,                 1.3909,                 1.9115,                 2.0848,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.2678,                 1.8669,                  1.753,                0.66854,                0.50211,                0.56604,                0.37496,                 1.3445,                 1.7869,                 2.0256,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.2442,                 1.8249,                 1.7397,                0.71308,                 0.4998,                0.58948,                0.40116,                  1.321,                 1.7696,                 2.0137,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.2038,                 1.6768,                 1.8175,                0.68143,                0.54845,                  0.624,                0.42885,                 1.2518,                 1.7392,                 1.9694,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.1638,                 1.6016,                 1.7665,                 0.7578,                0.56165,                0.64724,                0.45155,                 1.2053,                 1.5869,                 1.8915,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.1178,                 1.5511,                 1.7456,                0.75265,                0.57228,                 0.6553,                0.44999,                 1.2266,                 1.5806,                 1.8872,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.1083,                 1.5072,                  1.716,                0.78941,                0.58082,                0.67709,                0.47916,                 1.1685,                 1.4947,                 1.8286,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.0706,                 1.4627,                 1.6929,                0.83059,                0.58068,                 0.6805,                0.47551,                 1.1722,                  1.499,                 1.8307,             0.00034674,             0.00034674,             0.00034674
                     26,                  1.059,                 1.4035,                 1.6852,                0.76879,                0.61978,                0.68751,                0.49802,                 1.1422,                 1.4776,                 1.8082,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.0357,                 1.4199,                 1.6548,                0.77198,                0.62591,                0.69984,                0.50518,                 1.1295,                 1.4042,                 1.7981,             0.00023671,             0.00023671,             0.00023671
                     28,                 1.0304,                 1.3625,                 1.6643,                0.76322,                0.61639,                0.68945,                0.50738,                 1.0976,                 1.4607,                 1.7725,              0.0001817,              0.0001817,              0.0001817
                     29,                0.99419,                 1.3139,                 1.6315,                0.76431,                0.63583,                0.70124,                0.50998,                 1.1061,                 1.3849,                 1.7826,             0.00012669,             0.00012669,             0.00012669
                     30,                 0.9896,                 1.2993,                 1.6149,                0.79054,                0.63968,                0.71061,                0.52321,                 1.0895,                 1.3616,                 1.7638,             7.1681e-05,             7.1681e-05,             7.1681e-05
