                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5644,                 4.0079,                 1.6664,                0.57767,                0.25042,                 0.1829,                0.10859,                  1.609,                 3.1241,                 1.8762,             0.00047527,             0.00047527,             0.00047527
                      2,                 1.5467,                 2.5765,                 1.6496,                0.74165,                 0.3003,                0.35311,                0.19676,                   1.62,                 2.4377,                  1.876,             0.00093277,             0.00093277,             0.00093277
                      3,                   1.55,                 2.2983,                 1.6497,                0.80774,                0.31901,                0.39731,                0.25042,                 1.5138,                 1.9904,                 1.7443,              0.0013714,              0.0013714,              0.0013714
                      4,                 1.4798,                 2.1013,                 1.6155,                0.51572,                0.36434,                0.41832,                 0.2581,                 1.5213,                 1.9354,                 1.7499,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3885,                 1.9134,                 1.5421,                0.86418,                0.40027,                0.49133,                0.30315,                 1.4524,                 1.6912,                 1.6999,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3668,                 1.8662,                 1.5207,                0.51231,                 0.4648,                0.50004,                0.33848,                 1.3624,                 1.6012,                 1.6264,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3249,                 1.7622,                 1.4835,                0.63805,                0.48715,                0.52045,                0.33036,                 1.3582,                 1.5612,                 1.6124,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2627,                 1.6981,                 1.4504,                0.60195,                0.46967,                0.50913,                0.33852,                  1.337,                 1.4861,                 1.6389,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2626,                 1.6672,                 1.4592,                 0.8426,                0.47905,                0.54383,                0.36682,                 1.2719,                 1.5215,                 1.5881,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2223,                 1.5883,                 1.4222,                0.58465,                0.52341,                0.54839,                0.36745,                 1.2964,                  1.418,                 1.5974,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.188,                  1.522,                 1.4056,                0.62769,                0.51383,                 0.5563,                0.36784,                 1.2917,                  1.449,                 1.5767,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1945,                 1.5023,                 1.4131,                 0.6749,                0.55115,                0.58319,                0.38624,                 1.2806,                 1.3897,                 1.5506,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1657,                 1.4719,                 1.3957,                0.60624,                 0.5825,                0.59572,                0.40275,                 1.2368,                  1.255,                 1.5404,              0.0010895,              0.0010895,              0.0010895
                     14,                  1.147,                 1.4191,                 1.3777,                0.65837,                0.55455,                0.59744,                0.39317,                 1.2351,                 1.3354,                 1.5236,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1276,                 1.4071,                 1.3761,                 0.6572,                0.58057,                0.60774,                0.41356,                 1.1949,                 1.2188,                 1.5013,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1224,                 1.4102,                 1.3567,                0.71248,                0.58705,                0.61493,                0.42495,                 1.1932,                 1.2252,                 1.4997,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1102,                 1.3558,                 1.3637,                0.75727,                0.57805,                0.62895,                0.41639,                 1.1929,                 1.2173,                 1.5084,             0.00097629,             0.00097629,             0.00097629
