                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7234,                 5.7767,                 1.6717,                0.47811,                0.25139,                0.16616,                0.08147,                 1.7351,                 3.4748,                 1.7106,              0.0033288,              0.0033288,              0.0033288
                      2,                  1.703,                  3.552,                 1.6066,                0.60917,                0.24631,                 0.2614,                0.13501,                 1.8825,                  2.562,                 1.7926,              0.0065797,              0.0065797,              0.0065797
                      3,                 1.8672,                 2.9394,                 1.6952,                0.47807,                  0.241,                0.22749,                0.10638,                 1.9597,                 2.5154,                  1.864,              0.0097481,              0.0097481,              0.0097481
                      4,                 1.8983,                 2.7765,                 1.7349,                0.58831,                0.30156,                0.26674,                 0.1352,                 1.7885,                 2.7028,                 1.7602,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.8073,                 2.5047,                 1.6581,                0.71296,                0.38969,                0.41492,                 0.2268,                 1.7294,                 2.0373,                  1.692,               0.009505,               0.009505,               0.009505
                      6,                 1.7227,                 2.3446,                 1.6018,                0.68071,                0.40926,                0.44023,                 0.2549,                 1.6547,                 2.0671,                 1.6418,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.6576,                 2.1716,                 1.5599,                0.47074,                0.46145,                0.46748,                0.26859,                 1.5979,                 1.8418,                 1.5684,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.6033,                 2.0772,                 1.5178,                 0.4386,                0.42865,                0.44328,                0.25554,                 1.6134,                 1.8146,                 1.5667,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.5785,                 2.0086,                 1.5034,                0.57108,                0.45652,                0.50355,                0.29427,                 1.5492,                 1.6446,                 1.5411,                0.00901,                0.00901,                0.00901
                     10,                 1.5662,                 1.9453,                 1.4961,                0.55985,                0.46058,                0.51509,                0.30115,                 1.5671,                 1.5839,                 1.5424,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.5192,                 1.8796,                 1.4677,                0.61903,                0.48884,                0.53758,                0.32468,                 1.4976,                 1.5846,                 1.5019,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.4862,                 1.8454,                 1.4484,                0.79851,                 0.4736,                0.53566,                0.33161,                 1.4901,                 1.5453,                 1.4821,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.4688,                 1.7942,                 1.4366,                0.63761,                0.51791,                0.56558,                0.34922,                 1.4765,                 1.4639,                 1.4846,               0.008515,               0.008515,               0.008515
                     14,                 1.4589,                 1.7827,                 1.4273,                0.62765,                0.50291,                0.54657,                0.33875,                 1.4744,                 1.4995,                 1.4798,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.4244,                 1.7238,                 1.4072,                0.60151,                0.54751,                0.57975,                0.36205,                 1.4213,                 1.4196,                 1.4515,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.4072,                 1.7021,                 1.4035,                0.62726,                0.52877,                 0.5698,                0.36481,                 1.4086,                 1.4182,                  1.416,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.4027,                 1.6796,                 1.3997,                0.82859,                0.49257,                0.56033,                0.35153,                 1.4252,                   1.42,                 1.4385,                0.00802,                0.00802,                0.00802
                     18,                 1.3812,                 1.6592,                 1.3979,                0.65026,                0.53438,                 0.5648,                0.35531,                 1.4052,                 1.4494,                 1.4416,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.3781,                 1.6248,                 1.3762,                0.64017,                 0.5653,                0.59844,                0.38899,                 1.3796,                 1.3623,                 1.4043,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.3622,                 1.5914,                 1.3761,                0.64604,                0.59406,                0.61094,                0.38132,                 1.3942,                 1.3372,                 1.4121,              0.0076488,              0.0076488,              0.0076488
