                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7243,                 5.8657,                 1.6655,                0.76114,                0.11249,                0.08927,                0.03577,                 1.9793,                 3.4695,                 1.8511,              0.0033289,              0.0033289,              0.0033289
                      2,                 1.7128,                 3.6958,                   1.61,                 0.6097,                0.16219,                0.13522,                0.06432,                 1.8647,                 2.7379,                 1.7545,              0.0065798,              0.0065798,              0.0065798
                      3,                 1.8563,                  3.001,                 1.6865,                0.33794,                0.06928,                0.05016,                0.01897,                 2.2512,                 3.3401,                 2.0754,              0.0097482,              0.0097482,              0.0097482
                      4,                 1.9139,                 2.7963,                 1.7362,                0.64363,                0.20696,                0.19939,                0.09828,                 1.8991,                 2.4276,                 1.7619,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.7833,                 2.5316,                 1.6481,                0.72755,                0.24304,                0.28279,                0.14178,                 1.7704,                   2.39,                 1.6681,               0.009505,               0.009505,               0.009505
                      6,                 1.7062,                 2.3289,                 1.5932,                 0.7568,                0.28022,                0.32986,                 0.1815,                 1.8444,                 2.1801,                 1.7139,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.6328,                 2.1975,                 1.5555,                0.57721,                0.36272,                0.42394,                0.22842,                 1.6969,                 1.9541,                 1.6031,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.6277,                 2.1365,                 1.5448,                0.53449,                0.41053,                0.43829,                0.24826,                 1.6597,                 1.8457,                 1.6011,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.5879,                 2.0273,                 1.5046,                0.49708,                0.49486,                0.47735,                0.27006,                 1.6114,                 1.7375,                  1.529,                0.00901,                0.00901,                0.00901
                     10,                 1.5485,                 1.9534,                 1.4905,                0.62979,                0.44635,                0.48909,                0.27649,                 1.5676,                 1.6618,                  1.539,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.5118,                 1.9057,                 1.4737,                0.60339,                0.47114,                0.50287,                 0.2893,                 1.5799,                 1.6119,                 1.5218,              0.0087625,              0.0087625,              0.0087625
                     12,                  1.495,                 1.8618,                 1.4676,                0.68342,                0.46252,                0.50912,                0.28023,                 1.6068,                 1.6555,                 1.5289,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.4678,                 1.7972,                 1.4375,                0.54774,                0.47265,                0.50242,                0.29221,                 1.5724,                 1.6039,                 1.5242,               0.008515,               0.008515,               0.008515
                     14,                 1.4301,                 1.7677,                  1.425,                0.60924,                0.49355,                0.54421,                0.31897,                 1.5149,                 1.5569,                 1.4715,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.4298,                 1.7368,                 1.4195,                0.61473,                0.54769,                0.56673,                0.31495,                 1.5602,                 1.5985,                 1.5102,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.4132,                 1.6929,                 1.4061,                0.63626,                 0.5529,                0.59294,                 0.3504,                 1.5235,                 1.4323,                 1.4783,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.4038,                  1.687,                 1.4077,                0.65708,                0.57685,                0.61709,                0.36904,                 1.4625,                 1.3897,                 1.4445,                0.00802,                0.00802,                0.00802
                     18,                 1.3976,                 1.6538,                  1.394,                0.62789,                0.50996,                0.58069,                0.32135,                  1.492,                 1.3837,                 1.4447,              0.0078963,              0.0078963,              0.0078963
                     19,                  1.372,                 1.6038,                 1.3962,                0.70298,                0.52176,                0.60295,                0.34939,                 1.4764,                 1.3771,                 1.4414,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.3593,                 1.5824,                 1.3848,                0.68433,                0.55265,                0.62137,                0.35372,                 1.4559,                 1.3423,                 1.4213,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.3453,                 1.5788,                 1.3684,                0.65225,                0.61421,                0.62948,                0.36958,                   1.47,                 1.3431,                   1.44,               0.007525,               0.007525,               0.007525
                     22,                  1.327,                 1.5764,                 1.3569,                0.62714,                0.60637,                  0.628,                  0.374,                 1.4921,                 1.3269,                 1.4575,              0.0074013,              0.0074013,              0.0074013
                     23,                 1.3354,                 1.5321,                 1.3751,                0.72216,                0.60769,                0.65321,                0.37486,                 1.4299,                 1.2907,                 1.4148,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.3204,                 1.5186,                 1.3574,                0.69815,                0.61724,                0.65752,                0.39646,                 1.4148,                 1.2574,                 1.4012,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.3167,                 1.5375,                 1.3551,                0.70652,                0.62288,                0.66528,                0.39772,                 1.4112,                 1.2521,                 1.4114,                0.00703,                0.00703,                0.00703
                     26,                 1.3178,                 1.5128,                 1.3525,                 0.7617,                0.60122,                0.66502,                0.42171,                 1.4007,                 1.2347,                 1.3937,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.2886,                 1.4632,                 1.3331,                0.73467,                0.63748,                0.67639,                0.41139,                 1.3924,                 1.2354,                 1.3786,              0.0067825,              0.0067825,              0.0067825
                     28,                 1.2848,                 1.4666,                 1.3378,                0.72797,                0.61994,                0.66802,                0.38923,                 1.3862,                 1.2186,                  1.376,              0.0066587,              0.0066587,              0.0066587
                     29,                 1.2752,                 1.4339,                 1.3233,                0.70936,                0.62702,                0.66745,                0.40204,                 1.3941,                 1.2063,                 1.3833,               0.006535,               0.006535,               0.006535
                     30,                 1.2642,                 1.4332,                 1.3238,                 0.7194,                0.63249,                0.66477,                  0.395,                 1.3683,                 1.2074,                 1.3665,              0.0064112,              0.0064112,              0.0064112
                     31,                 1.2552,                 1.4067,                 1.3123,                0.68848,                0.64175,                0.68616,                0.41776,                 1.3627,                 1.1817,                 1.3603,              0.0062875,              0.0062875,              0.0062875
                     32,                 1.2604,                  1.435,                 1.3237,                0.73282,                0.65071,                0.68084,                0.41578,                 1.3675,                 1.1786,                 1.3581,              0.0061637,              0.0061637,              0.0061637
                     33,                 1.2314,                 1.3934,                 1.3047,                0.69417,                0.65637,                 0.6886,                0.42141,                 1.3708,                 1.1658,                 1.3729,                0.00604,                0.00604,                0.00604
                     34,                 1.2392,                 1.3793,                 1.3082,                0.74329,                0.67537,                0.70137,                0.44905,                 1.3546,                 1.1493,                 1.3498,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.2413,                 1.3941,                 1.3085,                  0.758,                0.66246,                0.70525,                 0.4326,                 1.3598,                 1.1367,                 1.3679,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.2298,                  1.375,                 1.3037,                0.73733,                0.68492,                 0.7017,                0.44211,                  1.359,                 1.1314,                  1.361,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.2069,                 1.3297,                 1.2991,                0.74221,                0.67794,                0.71322,                0.45251,                 1.3309,                 1.1285,                 1.3471,               0.005545,               0.005545,               0.005545
                     38,                  1.195,                 1.3331,                 1.2836,                0.73442,                0.68832,                0.71399,                0.44197,                 1.3441,                 1.1308,                 1.3475,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.2286,                 1.3506,                 1.3013,                0.75761,                0.68009,                0.71753,                0.45641,                   1.33,                 1.0971,                 1.3376,              0.0052975,              0.0052975,              0.0052975
                     40,                  1.205,                 1.3219,                 1.2835,                0.77777,                0.66736,                0.71724,                0.44793,                 1.3279,                 1.0971,                 1.3388,              0.0051737,              0.0051737,              0.0051737
                     41,                 1.2093,                  1.325,                 1.2826,                 0.7989,                0.66858,                0.71965,                0.44769,                 1.3251,                 1.0906,                 1.3363,                0.00505,                0.00505,                0.00505
                     42,                  1.177,                 1.2962,                  1.271,                0.76717,                0.68872,                0.72392,                0.45707,                 1.3144,                 1.0874,                 1.3304,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.1736,                 1.2773,                 1.2715,                0.76618,                0.69152,                0.72737,                0.45425,                 1.3275,                 1.0779,                 1.3378,              0.0048025,              0.0048025,              0.0048025
                     44,                 1.1699,                 1.2622,                 1.2628,                0.76581,                0.68693,                 0.7337,                0.45608,                 1.3185,                 1.0769,                 1.3298,              0.0046788,              0.0046788,              0.0046788
                     45,                  1.169,                 1.2713,                 1.2608,                0.76403,                 0.7005,                0.73795,                0.46099,                 1.3107,                 1.0643,                 1.3225,               0.004555,               0.004555,               0.004555
                     46,                 1.1445,                 1.2429,                 1.2577,                0.80662,                0.68373,                0.73864,                0.46814,                 1.3029,                 1.0575,                 1.3243,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.1656,                 1.2551,                 1.2672,                0.80063,                0.69925,                0.73975,                0.47178,                 1.3054,                 1.0571,                 1.3286,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.1486,                 1.2482,                 1.2643,                0.81672,                0.68372,                 0.7371,                0.46357,                 1.3006,                 1.0532,                 1.3236,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.1448,                 1.2283,                 1.2566,                0.78754,                0.68552,                0.73572,                0.47024,                 1.2989,                 1.0454,                 1.3251,                0.00406,                0.00406,                0.00406
                     50,                 1.1444,                 1.2039,                 1.2474,                0.77197,                0.69546,                0.73942,                0.46907,                 1.3079,                 1.0419,                 1.3231,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.1297,                 1.2002,                 1.2646,                0.79646,                0.68768,                0.74641,                0.47775,                 1.3042,                 1.0225,                 1.3155,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.1258,                 1.2074,                 1.2401,                  0.793,                 0.6931,                 0.7459,                0.48222,                 1.2962,                 1.0162,                 1.3139,              0.0036888,              0.0036888,              0.0036888
                     53,                  1.126,                 1.2004,                 1.2505,                0.77626,                 0.7055,                0.74082,                0.48008,                 1.2922,                 1.0227,                 1.3113,               0.003565,               0.003565,               0.003565
                     54,                 1.1241,                 1.1873,                 1.2417,                0.79925,                0.69934,                0.74622,                0.47895,                 1.2912,                 1.0146,                 1.3097,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.1132,                 1.1733,                 1.2357,                0.79733,                0.70221,                0.74707,                0.47597,                 1.2914,                 1.0185,                 1.3107,              0.0033175,              0.0033175,              0.0033175
                     56,                 1.1182,                 1.1801,                 1.2412,                0.78834,                  0.714,                0.75157,                0.48225,                 1.2938,                  1.006,                   1.31,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.0924,                  1.154,                 1.2286,                0.80742,                0.70085,                 0.7519,                0.48286,                 1.2866,                 1.0029,                 1.3061,                0.00307,                0.00307,                0.00307
                     58,                  1.111,                 1.1668,                 1.2363,                0.81344,                0.70765,                 0.7567,                0.48769,                 1.2863,                 1.0058,                 1.3071,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.0804,                 1.1436,                  1.222,                0.82438,                0.69856,                0.75772,                0.48885,                 1.2799,                0.99978,                 1.3037,              0.0028225,              0.0028225,              0.0028225
                     60,                  1.084,                 1.1318,                 1.2252,                0.81404,                0.69994,                 0.7596,                0.48426,                 1.2783,                 1.0009,                 1.3011,              0.0026987,              0.0026987,              0.0026987
                     61,                 1.0724,                 1.1077,                 1.2275,                0.79338,                0.71634,                0.75928,                 0.4873,                 1.2775,                0.99362,                 1.3002,               0.002575,               0.002575,               0.002575
                     62,                 1.0756,                 1.1059,                 1.2215,                0.79362,                0.71572,                0.75847,                0.48535,                 1.2705,                0.99032,                 1.2962,              0.0024513,              0.0024513,              0.0024513
                     63,                 1.0744,                  1.116,                  1.216,                0.81191,                0.71168,                0.75787,                0.48958,                 1.2649,                0.98811,                 1.2939,              0.0023275,              0.0023275,              0.0023275
                     64,                 1.0532,                 1.1025,                 1.2088,                0.80105,                0.71346,                0.76076,                0.48892,                 1.2655,                0.98564,                 1.2923,              0.0022038,              0.0022038,              0.0022038
                     65,                 1.0582,                 1.0886,                 1.2072,                0.81177,                0.70418,                0.76057,                0.48895,                 1.2657,                0.98032,                 1.2921,                0.00208,                0.00208,                0.00208
                     66,                 1.0563,                   1.09,                 1.2003,                0.83954,                0.69727,                0.75961,                0.49103,                 1.2617,                0.97884,                 1.2896,              0.0019563,              0.0019563,              0.0019563
                     67,                 1.0301,                  1.064,                 1.1969,                0.82513,                0.70153,                 0.7601,                0.49422,                   1.26,                0.97523,                  1.289,              0.0018325,              0.0018325,              0.0018325
                     68,                 1.0294,                 1.0588,                 1.1965,                0.83095,                0.69994,                0.76128,                0.49426,                 1.2583,                0.97296,                 1.2886,              0.0017087,              0.0017087,              0.0017087
                     69,                 1.0177,                 1.0461,                 1.1899,                0.83459,                 0.6978,                0.76299,                0.49274,                 1.2579,                0.97206,                 1.2882,               0.001585,               0.001585,               0.001585
                     70,                 1.0325,                 1.0769,                  1.202,                0.82237,                0.70586,                0.76296,                0.49542,                 1.2583,                 0.9712,                 1.2871,              0.0014612,              0.0014612,              0.0014612
                     71,                 1.0618,                0.95843,                 1.2545,                0.82828,                0.70045,                0.76387,                0.49367,                 1.2538,                0.96864,                 1.2854,              0.0013375,              0.0013375,              0.0013375
                     72,                 1.0403,                0.94579,                 1.2355,                0.83383,                0.69814,                0.76379,                 0.4977,                 1.2526,                0.96804,                 1.2843,              0.0012138,              0.0012138,              0.0012138
                     73,                 1.0374,                0.92497,                 1.2372,                0.82729,                0.69997,                0.76378,                0.49835,                 1.2518,                0.96737,                 1.2832,                0.00109,                0.00109,                0.00109
                     74,                 1.0308,                0.93478,                 1.2283,                0.82563,                 0.6998,                0.76383,                0.49718,                 1.2534,                0.96778,                 1.2834,             0.00096625,             0.00096625,             0.00096625
                     75,                 1.0245,                0.91931,                 1.2349,                0.82105,                0.71013,                0.76398,                0.49908,                 1.2527,                0.96661,                 1.2833,              0.0008425,              0.0008425,              0.0008425
                     76,                 1.0095,                0.89324,                 1.2244,                0.83463,                0.70174,                0.76533,                0.50023,                 1.2529,                0.96553,                 1.2834,             0.00071875,             0.00071875,             0.00071875
                     77,                  1.007,                0.91595,                 1.2099,                0.84484,                0.70174,                 0.7656,                0.49997,                 1.2514,                0.96329,                 1.2817,               0.000595,               0.000595,               0.000595
                     78,                0.99769,                0.87618,                 1.2121,                0.84281,                0.70219,                0.76676,                0.50037,                  1.249,                0.96061,                 1.2805,             0.00047125,             0.00047125,             0.00047125
                     79,                0.98637,                0.87268,                 1.2133,                0.84132,                0.70239,                0.76716,                 0.5021,                 1.2478,                0.95994,                 1.2795,              0.0003475,              0.0003475,              0.0003475
                     80,                0.98833,                0.86529,                 1.2041,                0.84262,                0.70199,                0.76747,                0.50288,                 1.2468,                 0.9597,                 1.2787,             0.00022375,             0.00022375,             0.00022375
