                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7047,                 2.0301,                 1.9668,                0.82765,                0.53738,                0.66187,                0.40785,                 1.4518,                 2.0013,                 1.7495,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.6933,                 1.9466,                 1.9684,                0.88617,                0.60748,                0.73867,                0.45934,                 1.4921,                 2.6919,                   1.79,              0.0012206,              0.0012206,              0.0012206
                      3,                 1.6202,                 1.7384,                 1.9751,                0.84608,                0.54206,                0.63684,                0.33246,                 1.8373,                 2.2889,                 2.1285,              0.0016675,              0.0016675,              0.0016675
                      4,                 1.5713,                 1.6806,                 1.9681,                0.75814,                0.64451,                0.69852,                0.39425,                 1.6833,                 2.1518,                 1.9868,               0.001505,               0.001505,               0.001505
                      5,                 1.5295,                 1.6493,                 1.8964,                0.81411,                0.56542,                0.66017,                0.37182,                 1.7687,                 1.9284,                 1.9951,               0.001505,               0.001505,               0.001505
                      6,                 1.5162,                 1.4649,                 1.9173,                0.87253,                0.63551,                0.76104,                0.45422,                 1.5935,                 1.5689,                 1.8823,                0.00134,                0.00134,                0.00134
                      7,                 1.4672,                 1.3575,                 1.8441,                 0.8577,                0.78867,                 0.8298,                0.51133,                 1.4269,                 1.5673,                  1.739,               0.001175,               0.001175,               0.001175
                      8,                 1.4367,                 1.3178,                 1.7939,                0.85062,                0.74503,                0.80812,                0.54455,                 1.3217,                 1.3033,                 1.6493,                0.00101,                0.00101,                0.00101
                      9,                 1.3794,                  1.319,                 1.7702,                0.88894,                0.74805,                0.85587,                0.56264,                 1.3178,                  1.126,                 1.6523,               0.000845,               0.000845,               0.000845
                     10,                 1.3388,                 1.1704,                 1.7157,                0.86442,                0.71501,                0.78881,                0.50806,                 1.3856,                 3.1317,                  1.689,                0.00068,                0.00068,                0.00068
                     11,                 1.3155,                 1.0475,                 1.6771,                0.92592,                 0.7757,                0.85302,                0.57416,                 1.3107,                 1.1027,                 1.6083,               0.000515,               0.000515,               0.000515
                     12,                 1.2642,                 1.0399,                 1.6612,                0.90148,                0.81237,                0.88564,                0.60372,                 1.2348,                  1.015,                 1.5666,                0.00035,                0.00035,                0.00035
