                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0575,                 11.837,                 4.2847,                      0,                      0,                      0,                      0,                 6.6915,                 5.9535,                 4.1773,                0.00034,                0.00034,                0.00034
                      2,                 5.1892,                 8.8344,                 3.5891,                      0,                      0,                      0,                      0,                 6.7164,                 5.9345,                 4.2541,             0.00066535,             0.00066535,             0.00066535
                      3,                 3.4112,                 5.7916,                 2.8018,                      0,                      0,                      0,                      0,                 6.8066,                 5.7026,                 4.5788,             0.00095506,             0.00095506,             0.00095506
                      4,                 3.1766,                  4.816,                 2.2583,                      0,                      0,                      0,                      0,                 6.8808,                 5.8652,                 4.9705,              0.0012091,              0.0012091,              0.0012091
                      5,                 2.7316,                 4.2196,                  2.099,                      0,                      0,                      0,                      0,                 6.9114,                  6.242,                 5.2236,              0.0014276,              0.0014276,              0.0014276
                      6,                 2.5862,                   3.88,                 1.9761,                      0,                      0,                      0,                      0,                 6.8215,                 5.4886,                 4.7096,               0.001505,               0.001505,               0.001505
                      7,                 2.4934,                 3.6862,                 1.8199,                0.00598,                0.35526,                0.02432,                0.00577,                 4.0603,                 4.0408,                 2.6001,               0.001505,               0.001505,               0.001505
                      8,                 2.3235,                 3.1538,                 1.7218,                0.87054,                0.26551,                0.50337,                0.17618,                 2.4688,                 2.8089,                 1.9793,               0.001406,               0.001406,               0.001406
                      9,                 2.1612,                 2.7084,                 1.6098,                0.95876,                 0.6118,                0.82995,                0.42676,                 1.7669,                 2.1276,                 1.5741,               0.001307,               0.001307,               0.001307
                     10,                 2.0403,                 2.4366,                 1.5184,                0.91917,                0.77632,                0.85939,                0.49699,                 1.5456,                 1.6594,                 1.4585,               0.001208,               0.001208,               0.001208
                     11,                 1.8852,                 2.6882,                 1.4727,                0.91644,                0.76316,                0.86585,                0.46474,                 1.5688,                 1.6752,                  1.403,               0.001109,               0.001109,               0.001109
                     12,                 1.7343,                  2.312,                 1.4123,                0.92815,                0.84995,                0.87835,                0.44013,                 1.5667,                 1.3784,                 1.3608,                0.00101,                0.00101,                0.00101
                     13,                 1.7446,                 2.0795,                 1.3861,                0.92852,                0.82895,                0.88216,                0.48919,                 1.4797,                 1.5711,                 1.3028,               0.000911,               0.000911,               0.000911
                     14,                 1.7668,                  1.938,                 1.4157,                0.85275,                0.76204,                0.84045,                0.42325,                 1.5796,                  1.588,                 1.3031,               0.000812,               0.000812,               0.000812
                     15,                 1.6783,                 1.7122,                 1.3526,                0.92651,                0.88158,                0.90728,                0.56637,                 1.2995,                 1.1157,                 1.2032,               0.000713,               0.000713,               0.000713
                     16,                 1.6523,                 1.5514,                 1.3207,                0.95605,                0.85865,                0.92486,                0.54461,                 1.3435,                 1.0447,                 1.1955,               0.000614,               0.000614,               0.000614
                     17,                 1.5351,                 1.5381,                 1.2441,                0.97014,                0.85498,                0.93234,                0.56386,                 1.2631,                0.92522,                 1.1666,               0.000515,               0.000515,               0.000515
                     18,                 1.5074,                 1.4169,                 1.2392,                0.95712,                0.85526,                0.92648,                0.58094,                 1.2504,                0.89325,                  1.165,               0.000416,               0.000416,               0.000416
                     19,                 1.4916,                 1.4088,                 1.2499,                0.91462,                0.84576,                0.91356,                0.54787,                 1.2936,                 1.0042,                 1.1702,               0.000317,               0.000317,               0.000317
                     20,                   1.49,                  1.355,                 1.2477,                0.97038,                 0.8623,                0.92996,                0.57561,                 1.2348,                0.89642,                 1.1497,               0.000218,               0.000218,               0.000218
