                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7923,                 8.6235,                 3.8786,                      0,                      0,                      0,                      0,                 6.7613,                 7.0666,                  4.236,             0.00054142,             0.00054142,             0.00054142
                      2,                 4.4263,                 4.7219,                 2.7564,                      0,                      0,                      0,                      0,                  6.827,                 7.1806,                 4.5687,              0.0010699,              0.0010699,              0.0010699
                      3,                 3.7352,                 3.7718,                 2.3118,                0.00044,                0.05995,                0.00483,                0.00131,                 6.1051,                 5.9033,                 3.9838,              0.0015709,              0.0015709,              0.0015709
                      4,                  3.513,                  3.458,                  2.049,                0.57827,                 0.0122,                0.02098,                 0.0054,                 3.3947,                 3.5441,                 2.0433,              0.0015432,              0.0015432,              0.0015432
                      5,                 3.3342,                  3.273,                 1.9304,                0.51649,                0.03659,                0.00896,                0.00276,                 3.4309,                  5.034,                 1.9271,              0.0015432,              0.0015432,              0.0015432
                      6,                 3.0551,                 2.7885,                 1.8466,                 0.5267,                0.02439,                0.01505,                0.00386,                 3.0562,                 4.9996,                 1.7943,               0.001502,               0.001502,               0.001502
                      7,                 2.8958,                 2.7041,                 1.7646,                0.53247,                0.04878,                0.01511,                0.00378,                 3.0985,                 3.3887,                 1.6871,              0.0014607,              0.0014607,              0.0014607
                      8,                 2.9052,                 2.6008,                 1.6286,                0.52032,                0.09756,                0.03014,                 0.0079,                 2.9231,                 3.1353,                 1.6524,              0.0014195,              0.0014195,              0.0014195
                      9,                 2.7493,                  2.553,                 1.6118,                0.50925,                0.12994,                0.01643,                0.00626,                 2.7753,                 2.9872,                 1.6157,              0.0013782,              0.0013782,              0.0013782
                     10,                  2.737,                 2.4512,                 1.5305,                0.50868,                0.13415,                0.04637,                0.01971,                 2.7639,                 3.0433,                 1.6017,              0.0013369,              0.0013369,              0.0013369
                     11,                 2.7044,                 2.4573,                 1.4915,                0.51167,                0.06098,                0.05725,                0.02418,                 2.8361,                 2.8632,                   1.59,              0.0012957,              0.0012957,              0.0012957
                     12,                 2.6772,                  2.382,                 1.5389,                0.01268,                0.07317,                 0.0747,                0.03493,                 2.6624,                 2.7207,                 1.5358,              0.0012544,              0.0012544,              0.0012544
                     13,                 2.5383,                 2.3278,                 1.4649,                  0.346,                0.10303,                0.09145,                0.05066,                  2.588,                 2.6427,                 1.4494,              0.0012132,              0.0012132,              0.0012132
