                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1381,                 11.197,                 3.7282,                0.00011,                0.06897,                  6e-05,                  2e-05,                 4.3015,                 7.8447,                 4.0812,              0.0006612,              0.0006612,              0.0006612
                      2,                 3.0757,                 5.1579,                 2.4819,                0.00047,                0.31724,                0.00041,                0.00015,                 3.2678,                  6.644,                 4.8674,               0.001295,               0.001295,               0.001295
                      3,                 2.8269,                 3.8685,                 2.1835,                0.00143,                0.91034,                0.01275,                0.00484,                 2.4489,                 4.3865,                 2.6058,              0.0018958,              0.0018958,              0.0018958
                      4,                 2.7103,                 3.4853,                 2.1044,                 0.0011,                0.86897,                0.00558,                0.00157,                 2.6126,                 5.1261,                 2.6371,              0.0018515,              0.0018515,              0.0018515
                      5,                 2.5685,                 3.3055,                 1.9741,                0.00148,                0.97241,                0.01364,                0.00591,                 2.2834,                 3.9635,                 2.3223,              0.0018515,              0.0018515,              0.0018515
                      6,                 2.5282,                 3.2942,                 2.0023,                0.00352,                0.92414,                0.01818,                0.00602,                 2.3429,                 3.5577,                 2.5612,               0.001802,               0.001802,               0.001802
                      7,                 2.3863,                 3.1451,                  1.937,                0.62086,                0.14483,                0.21423,                0.09556,                 2.1989,                 3.5425,                 2.3321,              0.0017525,              0.0017525,              0.0017525
                      8,                 2.1348,                 2.5453,                 1.7398,                0.86133,                0.34271,                0.41457,                0.21111,                 2.2869,                 3.4796,                   2.33,               0.001703,               0.001703,               0.001703
                      9,                 1.9519,                 2.1582,                 1.6065,                0.84641,                0.44828,                 0.5128,                0.27512,                 1.9103,                 3.0904,                 2.1736,              0.0016535,              0.0016535,              0.0016535
                     10,                  1.817,                 1.7789,                  1.495,                0.86377,                0.48104,                0.54434,                 0.2658,                 2.0728,                 2.7065,                 2.1647,               0.001604,               0.001604,               0.001604
                     11,                 1.7483,                 1.6027,                 1.4726,                0.80078,                0.51034,                 0.6094,                0.33078,                 1.8982,                 2.4918,                 2.1784,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.6835,                 1.4853,                 1.4085,                0.93711,                0.51724,                0.61714,                0.33534,                 1.8357,                 2.7927,                 2.1399,               0.001505,               0.001505,               0.001505
                     13,                 1.6259,                 1.3167,                 1.3364,                0.91351,                0.55862,                 0.6601,                0.36015,                 1.8518,                 2.3264,                 2.1296,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.6151,                 1.2997,                 1.3638,                0.85919,                0.58917,                0.75137,                0.40888,                 1.7498,                 2.1166,                 2.1775,               0.001406,               0.001406,               0.001406
